SiteID,1243941,Site Timezone,-6,Data Timezone,-6,Longitude,-96.8579406738,Latitude,33.0436172485
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2007,1,1,0,30,N/A,334.58,9.55,3.68,98930,N/A
2007,1,1,1,30,N/A,326.64,8.72,3.15,98970,N/A
2007,1,1,2,30,N/A,328.63,10.32,2.56,99000,N/A
2007,1,1,3,30,N/A,328.57,10.14,2.04,99040,N/A
2007,1,1,4,30,N/A,332.75,9.790000000000001,1.56,99050,N/A
2007,1,1,5,30,N/A,333.62,8.64,1.05,99090,N/A
2007,1,1,6,30,N/A,338.22,8.22,0.62,99140,N/A
2007,1,1,7,30,N/A,340.05,7.8100000000000005,0.25,99180,N/A
2007,1,1,8,30,N/A,346.23,7.19,0.19,99240,N/A
2007,1,1,9,30,N/A,354.73,6.75,0.97,99280,N/A
2007,1,1,10,30,N/A,357.87,6.23,2.09,99290,N/A
2007,1,1,11,30,N/A,6.7700000000000005,6.0200000000000005,3.3200000000000003,99280,N/A
2007,1,1,12,30,N/A,10.22,5.54,4.46,99290,N/A
2007,1,1,13,30,N/A,11.24,4.67,5.4,99300,N/A
2007,1,1,14,30,N/A,4.38,4.49,6.05,99290,N/A
2007,1,1,15,30,N/A,3.1,4.45,6.38,99270,N/A
2007,1,1,16,30,N/A,3.89,4.69,6.37,99250,N/A
2007,1,1,17,30,N/A,9.71,5.0600000000000005,6.3100000000000005,99260,N/A
2007,1,1,18,30,N/A,28.1,4.91,5.93,99280,N/A
2007,1,1,19,30,N/A,29.42,6.53,5.76,99290,N/A
2007,1,1,20,30,N/A,44.77,6.67,5.3100000000000005,99300,N/A
2007,1,1,21,30,N/A,50.53,6.96,4.92,99300,N/A
2007,1,1,22,30,N/A,51.46,7.05,4.62,99290,N/A
2007,1,1,23,30,N/A,60.04,7.1000000000000005,4.19,99300,N/A
2007,1,2,0,30,N/A,62.980000000000004,7.11,3.92,99320,N/A
2007,1,2,1,30,N/A,66.51,7,3.43,99350,N/A
2007,1,2,2,30,N/A,69.78,6.32,3.24,99370,N/A
2007,1,2,3,30,N/A,72.11,5.94,3.14,99390,N/A
2007,1,2,4,30,N/A,73.88,4.89,2.72,99390,N/A
2007,1,2,5,30,N/A,77.94,3.84,2.15,99420,N/A
2007,1,2,6,30,N/A,87.64,3.2,2.09,99450,N/A
2007,1,2,7,30,N/A,92.74,2.9,2.07,99460,N/A
2007,1,2,8,30,N/A,95.03,2.93,2.12,99490,N/A
2007,1,2,9,30,N/A,97.4,1.47,2.52,99500,N/A
2007,1,2,10,30,N/A,110.21000000000001,1.51,4.3,99500,N/A
2007,1,2,11,30,N/A,122.86,1.52,5.69,99460,N/A
2007,1,2,12,30,N/A,118.62,1.62,6.74,99430,N/A
2007,1,2,13,30,N/A,112.73,1.43,7.44,99380,N/A
2007,1,2,14,30,N/A,92.41,0.89,7.98,99330,N/A
2007,1,2,15,30,N/A,44.56,1.27,8.27,99280,N/A
2007,1,2,16,30,N/A,46.86,1.8900000000000001,8.3,99240,N/A
2007,1,2,17,30,N/A,80.13,2.73,7.99,99240,N/A
2007,1,2,18,30,N/A,83.09,2.75,7.63,99250,N/A
2007,1,2,19,30,N/A,86.58,2.7800000000000002,7.61,99250,N/A
2007,1,2,20,30,N/A,90.77,3.7,7.7,99240,N/A
2007,1,2,21,30,N/A,107.04,3.4,7.62,99240,N/A
2007,1,2,22,30,N/A,114.82000000000001,4.16,7.46,99230,N/A
2007,1,2,23,30,N/A,124.79,4.24,6.94,99230,N/A
2007,1,3,0,30,N/A,136.3,4.4,6.74,99240,N/A
2007,1,3,1,30,N/A,143.09,4.09,6.15,99230,N/A
2007,1,3,2,30,N/A,153.09,3.34,5.61,99200,N/A
2007,1,3,3,30,N/A,163.47,2.98,5.25,99180,N/A
2007,1,3,4,30,N/A,166.07,2.7800000000000002,5.28,99140,N/A
2007,1,3,5,30,N/A,160.36,3.0500000000000003,5.21,99140,N/A
2007,1,3,6,30,N/A,169.46,3.17,5.11,99140,N/A
2007,1,3,7,30,N/A,162.64000000000001,3.3000000000000003,5.3,99130,N/A
2007,1,3,8,30,N/A,162.79,3.67,5.39,99130,N/A
2007,1,3,9,30,N/A,152.20000000000002,2.7800000000000002,5.68,99110,N/A
2007,1,3,10,30,N/A,155.20000000000002,2.35,6.41,99110,N/A
2007,1,3,11,30,N/A,155.28,2.31,6.99,99070,N/A
2007,1,3,12,30,N/A,161.98,2.05,7.49,99060,N/A
2007,1,3,13,30,N/A,159.70000000000002,2.46,8.15,99000,N/A
2007,1,3,14,30,N/A,170.57,2.9,8.97,98940,N/A
2007,1,3,15,30,N/A,147.07,4.28,9.44,98840,N/A
2007,1,3,16,30,N/A,169.39000000000001,3.74,9.56,98790,N/A
2007,1,3,17,30,N/A,161.51,4.51,9.43,98720,N/A
2007,1,3,18,30,N/A,162.94,4.87,9.5,98680,N/A
2007,1,3,19,30,N/A,175.51,5.0600000000000005,9.450000000000001,98630,N/A
2007,1,3,20,30,N/A,161.38,3.16,9.32,98540,N/A
2007,1,3,21,30,N/A,163.15,4.79,9.23,98530,N/A
2007,1,3,22,30,N/A,176.91,6.47,9.290000000000001,98550,N/A
2007,1,3,23,30,N/A,182.06,4.64,8.49,98520,N/A
2007,1,4,0,30,N/A,143.61,4.12,7.43,98400,N/A
