SiteID,1243941,Site Timezone,-6,Data Timezone,-6,Longitude,-96.8579406738,Latitude,33.0436172485
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2009,1,1,0,30,N/A,133.71,8.6,3.79,98840,N/A
2009,1,1,1,30,N/A,136.34,9.02,3.33,98800,N/A
2009,1,1,2,30,N/A,140.66,9.09,2.83,98740,N/A
2009,1,1,3,30,N/A,142.93,8.93,2.31,98680,N/A
2009,1,1,4,30,N/A,149.41,9.02,1.84,98620,N/A
2009,1,1,5,30,N/A,153.13,9.5,1.46,98570,N/A
2009,1,1,6,30,N/A,156.4,8.950000000000001,1.21,98530,N/A
2009,1,1,7,30,N/A,159.48,8.15,0.85,98470,N/A
2009,1,1,8,30,N/A,162.46,7.49,0.89,98420,N/A
2009,1,1,9,30,N/A,163.6,5.9,1.74,98370,N/A
2009,1,1,10,30,N/A,172.89000000000001,6.4,3.89,98280,N/A
2009,1,1,11,30,N/A,176.51,7.0600000000000005,6.5,98180,N/A
2009,1,1,12,30,N/A,180.86,7.98,8.89,98060,N/A
2009,1,1,13,30,N/A,181.12,8.65,11.01,97960,N/A
2009,1,1,14,30,N/A,183.6,7.5600000000000005,12.290000000000001,97900,N/A
2009,1,1,15,30,N/A,183.36,8.23,13.96,97840,N/A
2009,1,1,16,30,N/A,181.55,7.86,14.23,97770,N/A
2009,1,1,17,30,N/A,172.14000000000001,10.11,13.61,97720,N/A
2009,1,1,18,30,N/A,171.06,11.55,13.22,97720,N/A
2009,1,1,19,30,N/A,166.98,10.66,12.43,97720,N/A
2009,1,1,20,30,N/A,168.23,11.22,11.9,97700,N/A
2009,1,1,21,30,N/A,172.88,10.36,11.46,97680,N/A
2009,1,1,22,30,N/A,177.19,10.09,11.450000000000001,97650,N/A
2009,1,1,23,30,N/A,179.9,9.790000000000001,11.3,97640,N/A
2009,1,2,0,30,N/A,189.53,10.01,11.19,97640,N/A
2009,1,2,1,30,N/A,197.67000000000002,10.39,11.53,97650,N/A
2009,1,2,2,30,N/A,210.05,8.66,11.57,97650,N/A
2009,1,2,3,30,N/A,211.20000000000002,7.29,10.73,97660,N/A
2009,1,2,4,30,N/A,214.75,7.09,10.47,97660,N/A
2009,1,2,5,30,N/A,228.51,5.58,9.65,97680,N/A
2009,1,2,6,30,N/A,230.58,4.24,8.96,97690,N/A
2009,1,2,7,30,N/A,224.31,4.19,8.78,97710,N/A
2009,1,2,8,30,N/A,227.46,4.37,8.01,97710,N/A
2009,1,2,9,30,N/A,236.78,2.65,6.71,97730,N/A
2009,1,2,10,30,N/A,228.25,1.8900000000000001,7.78,97730,N/A
2009,1,2,11,30,N/A,223.47,2.57,9.65,97680,N/A
2009,1,2,12,30,N/A,202.44,2.71,11.620000000000001,97680,N/A
2009,1,2,13,30,N/A,193.33,3.02,13.58,97650,N/A
2009,1,2,14,30,N/A,187.41,3.63,15.26,97600,N/A
2009,1,2,15,30,N/A,184.56,3.97,16.67,97560,N/A
2009,1,2,16,30,N/A,179.93,4.75,17.78,97500,N/A
2009,1,2,17,30,N/A,164.56,5.24,18.34,97460,N/A
2009,1,2,18,30,N/A,152.77,10.9,17.55,97430,N/A
2009,1,2,19,30,N/A,155.16,11.55,14.73,97410,N/A
2009,1,2,20,30,N/A,163.09,10.14,14.07,97400,N/A
2009,1,2,21,30,N/A,166.78,9.89,14.540000000000001,97380,N/A
2009,1,2,22,30,N/A,172.67000000000002,9.91,14.61,97370,N/A
2009,1,2,23,30,N/A,172.29,10.040000000000001,14.700000000000001,97350,N/A
2009,1,3,0,30,N/A,184.69,11.55,15.22,97320,N/A
2009,1,3,1,30,N/A,182.14000000000001,11.370000000000001,15.43,97330,N/A
2009,1,3,2,30,N/A,188.09,11.76,15.72,97310,N/A
2009,1,3,3,30,N/A,185.52,11.450000000000001,15.65,97310,N/A
2009,1,3,4,30,N/A,184.93,12.09,15.52,97280,N/A
2009,1,3,5,30,N/A,185.83,12.23,15.58,97260,N/A
2009,1,3,6,30,N/A,180.07,11.4,15.38,97280,N/A
2009,1,3,7,30,N/A,185.29,11.36,15.26,97280,N/A
2009,1,3,8,30,N/A,186.98,10.36,15.23,97310,N/A
2009,1,3,9,30,N/A,188.56,9.55,15.98,97320,N/A
2009,1,3,10,30,N/A,190.5,7.87,17.38,97320,N/A
2009,1,3,11,30,N/A,199.94,8.040000000000001,18.830000000000002,97300,N/A
2009,1,3,12,30,N/A,201.47,8.32,20.47,97270,N/A
2009,1,3,13,30,N/A,202.9,8.370000000000001,21.92,97270,N/A
2009,1,3,14,30,N/A,203.04,8.22,22.95,97250,N/A
2009,1,3,15,30,N/A,209.42000000000002,9.41,24.09,97230,N/A
2009,1,3,16,30,N/A,201.11,7.42,24.57,97220,N/A
2009,1,3,17,30,N/A,204.91,6.57,24.48,97260,N/A
2009,1,3,18,30,N/A,183.15,10.370000000000001,22.740000000000002,97310,N/A
2009,1,3,19,30,N/A,186.12,10.57,20.85,97360,N/A
2009,1,3,20,30,N/A,193.93,11.290000000000001,20.02,97400,N/A
2009,1,3,21,30,N/A,198.67000000000002,12.1,20.12,97430,N/A
2009,1,3,22,30,N/A,202.87,10.75,20.06,97500,N/A
2009,1,3,23,30,N/A,200.36,10.03,18.580000000000002,97540,N/A
2009,1,4,0,30,N/A,215.01,9.07,19.39,97580,N/A
2009,1,4,1,30,N/A,329.21,7.8,13.450000000000001,97740,N/A
2009,1,4,2,30,N/A,4.68,11.620000000000001,7.55,97890,N/A
2009,1,4,3,30,N/A,8.85,10.11,5.61,98040,N/A
2009,1,4,4,30,N/A,6.78,10.25,4.21,98150,N/A
2009,1,4,5,30,N/A,2.92,9.19,3.06,98280,N/A
2009,1,4,6,30,N/A,354.58,8.47,1.98,98420,N/A
2009,1,4,7,30,N/A,355.53000000000003,11.620000000000001,0.64,98520,N/A
2009,1,4,8,30,N/A,1.85,11.67,-0.26,98630,N/A
2009,1,4,9,30,N/A,0.19,10.75,-0.15,98720,N/A
2009,1,4,10,30,N/A,359.33,10.69,0.54,98790,N/A
2009,1,4,11,30,N/A,358.13,10.700000000000001,1.53,98810,N/A
2009,1,4,12,30,N/A,358.90000000000003,9.8,2.79,98860,N/A
2009,1,4,13,30,N/A,1.9100000000000001,10.06,3.72,98890,N/A
2009,1,4,14,30,N/A,1.82,9.89,4.37,98900,N/A
2009,1,4,15,30,N/A,5.05,9.23,4.76,98920,N/A
2009,1,4,16,30,N/A,9.540000000000001,9.91,4.26,98920,N/A
2009,1,4,17,30,N/A,6.09,9.61,3.52,98980,N/A
2009,1,4,18,30,N/A,16.82,8.88,2.75,99040,N/A
2009,1,4,19,30,N/A,16.78,11.58,1.75,99100,N/A
2009,1,4,20,30,N/A,14.74,9.78,1,99120,N/A
2009,1,4,21,30,N/A,16.64,9.02,0.3,99110,N/A
2009,1,4,22,30,N/A,13.46,8.22,-0.2,99090,N/A
2009,1,4,23,30,N/A,13.96,7.36,-0.73,99090,N/A
2009,1,5,0,30,N/A,12.41,6.5,-1.06,99130,N/A
2009,1,5,1,30,N/A,6.69,6.65,-1.33,99110,N/A
2009,1,5,2,30,N/A,13.38,7.48,-1.49,99060,N/A
2009,1,5,3,30,N/A,8.92,6.22,-1.55,99040,N/A
2009,1,5,4,30,N/A,3.96,5.95,-1.62,99010,N/A
2009,1,5,5,30,N/A,358.78000000000003,5.72,-1.7,98990,N/A
2009,1,5,6,30,N/A,359.71,4.62,-1.69,99000,N/A
2009,1,5,7,30,N/A,352.89,4.88,-1.81,98950,N/A
2009,1,5,8,30,N/A,347.13,4.78,-1.77,98920,N/A
2009,1,5,9,30,N/A,342.68,4.41,-2.34,98870,N/A
2009,1,5,10,30,N/A,322.66,3.52,-2.85,98840,N/A
2009,1,5,11,30,N/A,307.87,3.72,-3.0500000000000003,98770,N/A
2009,1,5,12,30,N/A,316.89,2.88,-2.88,98650,N/A
2009,1,5,13,30,N/A,305.42,3.65,-2.49,98560,N/A
2009,1,5,14,30,N/A,290.97,2.85,-2.11,98440,N/A
2009,1,5,15,30,N/A,263.52,1.78,-1.8900000000000001,98320,N/A
2009,1,5,16,30,N/A,226.95000000000002,1.74,-1.55,98200,N/A
2009,1,5,17,30,N/A,207.97,3.11,-1.08,98110,N/A
2009,1,5,18,30,N/A,205.70000000000002,3.38,-0.9,98030,N/A
2009,1,5,19,30,N/A,208.44,3.3200000000000003,-0.72,97930,N/A
2009,1,5,20,30,N/A,204.6,3.75,-0.54,97870,N/A
2009,1,5,21,30,N/A,201.35,4.18,-0.28,97810,N/A
2009,1,5,22,30,N/A,204.48000000000002,3.74,0.01,97750,N/A
2009,1,5,23,30,N/A,208.5,3.5700000000000003,0.39,97690,N/A
2009,1,6,0,30,N/A,199.23000000000002,4.3500000000000005,0.68,97630,N/A
2009,1,6,1,30,N/A,198.39000000000001,4.7700000000000005,1.01,97570,N/A
2009,1,6,2,30,N/A,192.05,5.38,1.06,97490,N/A
2009,1,6,3,30,N/A,193.29,6.37,1.44,97420,N/A
2009,1,6,4,30,N/A,193.48000000000002,7.46,2.02,97320,N/A
2009,1,6,5,30,N/A,195.68,7.04,2.5300000000000002,97230,N/A
2009,1,6,6,30,N/A,198.46,7.65,3.29,97170,N/A
2009,1,6,7,30,N/A,192.54,7.5200000000000005,4.16,97110,N/A
2009,1,6,8,30,N/A,204.1,7.53,4.84,97080,N/A
2009,1,6,9,30,N/A,214.65,8.32,6.43,97030,N/A
2009,1,6,10,30,N/A,225.42000000000002,6.07,8.01,97000,N/A
2009,1,6,11,30,N/A,224.04,6.34,9.55,96940,N/A
2009,1,6,12,30,N/A,235.57,6.3500000000000005,11.03,96900,N/A
2009,1,6,13,30,N/A,247.5,6.75,12.06,96910,N/A
2009,1,6,14,30,N/A,259.37,7.29,13.5,96900,N/A
2009,1,6,15,30,N/A,272.61,10.35,13.52,96910,N/A
2009,1,6,16,30,N/A,285.68,9.17,13.040000000000001,96980,N/A
2009,1,6,17,30,N/A,301.39,12.36,10.92,97080,N/A
2009,1,6,18,30,N/A,312.14,11.61,8.73,97210,N/A
2009,1,6,19,30,N/A,315.72,11.93,7.8,97320,N/A
2009,1,6,20,30,N/A,314.03000000000003,9.700000000000001,7.45,97400,N/A
2009,1,6,21,30,N/A,315.85,10.03,7.59,97460,N/A
2009,1,6,22,30,N/A,304.13,8.58,7.23,97500,N/A
2009,1,6,23,30,N/A,305.25,11.69,7.640000000000001,97530,N/A
2009,1,7,0,30,N/A,301.89,12.49,7.97,97580,N/A
2009,1,7,1,30,N/A,295.23,10.35,7.45,97640,N/A
2009,1,7,2,30,N/A,288.59000000000003,8.81,7.15,97650,N/A
2009,1,7,3,30,N/A,287.14,7.0600000000000005,6.61,97650,N/A
2009,1,7,4,30,N/A,275.58,5.62,5.74,97650,N/A
2009,1,7,5,30,N/A,270.95,6.28,6.0200000000000005,97660,N/A
2009,1,7,6,30,N/A,256.9,6.96,5.75,97670,N/A
2009,1,7,7,30,N/A,248.38,7.2,5.79,97680,N/A
2009,1,7,8,30,N/A,248.25,6.73,5.76,97690,N/A
2009,1,7,9,30,N/A,244.06,6.01,6.03,97690,N/A
2009,1,7,10,30,N/A,234.11,3.44,6.890000000000001,97650,N/A
2009,1,7,11,30,N/A,236.13,3.5700000000000003,8.540000000000001,97600,N/A
2009,1,7,12,30,N/A,240.58,4.32,10.39,97560,N/A
2009,1,7,13,30,N/A,244.51,4.86,11.49,97530,N/A
2009,1,7,14,30,N/A,248.01000000000002,5.39,12.06,97510,N/A
2009,1,7,15,30,N/A,247.56,5.41,12.97,97500,N/A
2009,1,7,16,30,N/A,234.05,5.49,13.58,97470,N/A
2009,1,7,17,30,N/A,225.67000000000002,6.62,13.73,97480,N/A
2009,1,7,18,30,N/A,229.17000000000002,7.78,14.01,97510,N/A
2009,1,7,19,30,N/A,226.31,7.57,14.24,97520,N/A
2009,1,7,20,30,N/A,227.74,8.03,13.97,97540,N/A
2009,1,7,21,30,N/A,240.84,8.620000000000001,14.09,97560,N/A
2009,1,7,22,30,N/A,246.54,7.87,14.32,97570,N/A
2009,1,7,23,30,N/A,257.86,6.92,13.77,97600,N/A
2009,1,8,0,30,N/A,263.8,7.930000000000001,13.66,97630,N/A
2009,1,8,1,30,N/A,259.22,6.01,12.66,97680,N/A
2009,1,8,2,30,N/A,264.15,5.07,12.64,97720,N/A
