SiteID,1243941,Site Timezone,-6,Data Timezone,-6,Longitude,-96.8579406738,Latitude,33.0436172485
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2012,1,1,0,30,N/A,350.03000000000003,14.02,12.05,98810,N/A
2012,1,1,1,30,N/A,352.83,13.22,10.48,98960,N/A
2012,1,1,2,30,N/A,349.75,12.59,9.540000000000001,99090,N/A
2012,1,1,3,30,N/A,351.32,13.08,8.72,99200,N/A
2012,1,1,4,30,N/A,347.65000000000003,12.49,8.35,99300,N/A
2012,1,1,5,30,N/A,339.49,12.22,7.7700000000000005,99410,N/A
2012,1,1,6,30,N/A,337.34000000000003,10.19,6.73,99530,N/A
2012,1,1,7,30,N/A,332.49,8.49,5.51,99640,N/A
2012,1,1,8,30,N/A,342.39,8.700000000000001,5.2,99730,N/A
2012,1,1,9,30,N/A,355.96,7.5,5.58,99820,N/A
2012,1,1,10,30,N/A,358.56,7.5,6.94,99880,N/A
2012,1,1,11,30,N/A,0.74,7.43,8.040000000000001,99900,N/A
2012,1,1,12,30,N/A,354.39,6.79,8.92,99940,N/A
2012,1,1,13,30,N/A,349.84000000000003,6.34,9.67,99970,N/A
2012,1,1,14,30,N/A,345.61,6.16,10.1,99980,N/A
2012,1,1,15,30,N/A,340.64,6.05,10.35,99990,N/A
2012,1,1,16,30,N/A,339.52,5.96,10.3,99970,N/A
2012,1,1,17,30,N/A,343.65000000000003,6.42,10.22,100000,N/A
2012,1,1,18,30,N/A,338.81,7.73,10.040000000000001,100040,N/A
2012,1,1,19,30,N/A,345.74,9.450000000000001,9.85,100070,N/A
2012,1,1,20,30,N/A,349.51,8.41,9.07,100120,N/A
2012,1,1,21,30,N/A,353.48,9.53,8.370000000000001,100140,N/A
2012,1,1,22,30,N/A,358.26,10.370000000000001,7.8,100160,N/A
2012,1,1,23,30,N/A,2.19,10.81,7.0600000000000005,100180,N/A
2012,1,2,0,30,N/A,5.09,11.33,6.51,100230,N/A
2012,1,2,1,30,N/A,8.99,11.71,6.5200000000000005,100280,N/A
2012,1,2,2,30,N/A,10.85,11.44,5.95,100310,N/A
2012,1,2,3,30,N/A,14.4,10.82,5.67,100320,N/A
2012,1,2,4,30,N/A,15.64,10.25,5.28,100340,N/A
2012,1,2,5,30,N/A,12.23,10.92,3.94,100390,N/A
2012,1,2,6,30,N/A,19.67,10.49,3.0500000000000003,100440,N/A
2012,1,2,7,30,N/A,21.14,9.55,2.27,100480,N/A
2012,1,2,8,30,N/A,26.26,8.66,1.81,100530,N/A
