SiteID,1243941,Site Timezone,-6,Data Timezone,-6,Longitude,-96.8579406738,Latitude,33.0436172485
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2008,1,1,0,30,N/A,348.64,9.9,4.59,99730,N/A
2008,1,1,1,30,N/A,351.39,10.02,3.99,99840,N/A
2008,1,1,2,30,N/A,351.40000000000003,9.98,3.72,99920,N/A
2008,1,1,3,30,N/A,353.66,8.69,2.62,100020,N/A
2008,1,1,4,30,N/A,351.17,7.640000000000001,2.14,100070,N/A
2008,1,1,5,30,N/A,349.93,6.71,1.42,100160,N/A
2008,1,1,6,30,N/A,339.28000000000003,6.55,1.1400000000000001,100240,N/A
2008,1,1,7,30,N/A,333.67,6.8500000000000005,0.87,100320,N/A
2008,1,1,8,30,N/A,329.28000000000003,6.22,0.45,100390,N/A
2008,1,1,9,30,N/A,324.84000000000003,4.4,1.23,100460,N/A
2008,1,1,10,30,N/A,325.99,4.72,2.99,100500,N/A
2008,1,1,11,30,N/A,324.7,5.11,4.2,100490,N/A
2008,1,1,12,30,N/A,328.90000000000003,6.62,5.47,100490,N/A
2008,1,1,13,30,N/A,336.44,7.8,6.07,100500,N/A
2008,1,1,14,30,N/A,339.2,8.47,6.15,100500,N/A
2008,1,1,15,30,N/A,335.94,7.99,6.18,100490,N/A
2008,1,1,16,30,N/A,335.57,8.78,6.1000000000000005,100490,N/A
2008,1,1,17,30,N/A,341.19,8.26,5.93,100510,N/A
2008,1,1,18,30,N/A,341.23,9.05,5.72,100530,N/A
2008,1,1,19,30,N/A,330.72,9.16,5.14,100590,N/A
2008,1,1,20,30,N/A,334.6,9.91,3.91,100630,N/A
2008,1,1,21,30,N/A,357.82,14.33,3.63,100660,N/A
2008,1,1,22,30,N/A,352.95,9.370000000000001,2.45,100690,N/A
2008,1,1,23,30,N/A,2.1,10.33,2.11,100730,N/A
2008,1,2,0,30,N/A,4.1,9.6,1.78,100780,N/A
2008,1,2,1,30,N/A,1.56,8.16,1.36,100830,N/A
2008,1,2,2,30,N/A,357.05,6.99,0.71,100880,N/A
2008,1,2,3,30,N/A,359.45,6.69,0.43,100910,N/A
2008,1,2,4,30,N/A,358.82,6.2,0.11,100940,N/A
2008,1,2,5,30,N/A,2.42,6.17,-0.2,100990,N/A
2008,1,2,6,30,N/A,9.14,6.3500000000000005,-0.52,101050,N/A
2008,1,2,7,30,N/A,9.73,6.4,-0.68,101090,N/A
2008,1,2,8,30,N/A,11.23,6.24,-1.08,101130,N/A
2008,1,2,9,30,N/A,12.91,5.97,-1.01,101140,N/A
2008,1,2,10,30,N/A,8.08,5.1000000000000005,-0.46,101140,N/A
2008,1,2,11,30,N/A,358.86,5.21,0.26,101100,N/A
2008,1,2,12,30,N/A,359.8,4.7700000000000005,1.05,101070,N/A
