SiteID,1243941,Site Timezone,-6,Data Timezone,-6,Longitude,-96.8579406738,Latitude,33.0436172485
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2011,1,4,12,30,N/A,295.41,1.5,10.65,98490,N/A
2011,1,4,13,30,N/A,295.33,1.23,11.46,98460,N/A
2011,1,4,14,30,N/A,281.65000000000003,1.33,12.07,98420,N/A
2011,1,4,15,30,N/A,297.26,1.81,12.35,98380,N/A
2011,1,4,16,30,N/A,312.89,1.75,12.21,98330,N/A
2011,1,4,17,30,N/A,316.93,2.29,12,98290,N/A
2011,1,4,18,30,N/A,336.19,2.42,11.46,98290,N/A
2011,1,4,19,30,N/A,6.1000000000000005,2.5100000000000002,10.91,98270,N/A
2011,1,4,20,30,N/A,358.92,2.2,10.82,98250,N/A
2011,1,4,21,30,N/A,324.87,1.82,10.31,98230,N/A
2011,1,4,22,30,N/A,313.85,2.09,8.98,98220,N/A
2011,1,4,23,30,N/A,300.38,2.89,8.4,98220,N/A
2011,1,5,0,30,N/A,319.76,4.53,7.6000000000000005,98230,N/A
2011,1,5,1,30,N/A,276.37,3.0700000000000003,7.9,98160,N/A
2011,1,5,2,30,N/A,290.78000000000003,3.39,7.5200000000000005,98140,N/A
2011,1,5,3,30,N/A,280.59000000000003,3.46,7.51,98100,N/A
2011,1,5,4,30,N/A,275.16,4.41,7.26,98080,N/A
2011,1,5,5,30,N/A,293.82,4.3500000000000005,5.79,98090,N/A
2011,1,5,6,30,N/A,279.24,5.3,6.61,98060,N/A
2011,1,5,7,30,N/A,287.47,4.99,5.24,98090,N/A
2011,1,5,8,30,N/A,308.13,6.2700000000000005,5.23,98130,N/A
2011,1,5,9,30,N/A,320.06,4.39,3.98,98160,N/A
2011,1,5,10,30,N/A,305.45,3.0100000000000002,5.2700000000000005,98170,N/A
2011,1,5,11,30,N/A,304.48,3.85,6.83,98180,N/A
2011,1,5,12,30,N/A,308.06,3.56,8.49,98200,N/A
