SiteID,1243941,Site Timezone,-6,Data Timezone,-6,Longitude,-96.8579406738,Latitude,33.0436172485
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2010,1,1,0,30,N/A,0.87,8.98,1.52,99540,N/A
2010,1,1,1,30,N/A,6.33,8.31,0.9400000000000001,99590,N/A
2010,1,1,2,30,N/A,8.700000000000001,7.48,0.39,99620,N/A
2010,1,1,3,30,N/A,8.77,6.5,-0.04,99620,N/A
2010,1,1,4,30,N/A,7.16,5.73,-0.45,99630,N/A
2010,1,1,5,30,N/A,9.55,5.5,-0.6,99640,N/A
2010,1,1,6,30,N/A,10.52,4.93,-0.77,99650,N/A
2010,1,1,7,30,N/A,8.03,4.19,-0.86,99640,N/A
2010,1,1,8,30,N/A,17.28,2.46,-0.87,99660,N/A
2010,1,1,9,30,N/A,352.40000000000003,0.67,-0.25,99680,N/A
2010,1,1,10,30,N/A,281.7,0.72,1.23,99680,N/A
2010,1,1,11,30,N/A,275.2,0.9,2.74,99620,N/A
2010,1,1,12,30,N/A,277.69,0.7000000000000001,4.17,99580,N/A
2010,1,1,13,30,N/A,211.14000000000001,1.3,5.67,99550,N/A
2010,1,1,14,30,N/A,206.77,1.3900000000000001,6.84,99490,N/A
2010,1,1,15,30,N/A,202,2.3000000000000003,7.55,99450,N/A
2010,1,1,16,30,N/A,196.8,3.48,7.66,99410,N/A
2010,1,1,17,30,N/A,190.70000000000002,3.17,7.54,99400,N/A
2010,1,1,18,30,N/A,171.61,3.71,7.11,99390,N/A
2010,1,1,19,30,N/A,166.84,5.0200000000000005,6.5600000000000005,99410,N/A
2010,1,1,20,30,N/A,170.01,5.36,6.61,99410,N/A
2010,1,1,21,30,N/A,174.20000000000002,5.01,6.97,99400,N/A
2010,1,1,22,30,N/A,169.97,5.88,6.72,99400,N/A
2010,1,1,23,30,N/A,164.01,5.78,6.45,99400,N/A
2010,1,2,0,30,N/A,165.51,5.58,6.46,99410,N/A
2010,1,2,1,30,N/A,162.83,5.38,5.8,99420,N/A
2010,1,2,2,30,N/A,152.36,5.2700000000000005,4.87,99410,N/A
2010,1,2,3,30,N/A,153.01,4.57,4.1,99390,N/A
2010,1,2,4,30,N/A,138.78,4.08,3.41,99370,N/A
2010,1,2,5,30,N/A,121.96000000000001,3.9,2.96,99390,N/A
2010,1,2,6,30,N/A,99.52,4.13,2.12,99390,N/A
2010,1,2,7,30,N/A,90.31,4.37,1.74,99400,N/A
2010,1,2,8,30,N/A,86.85000000000001,4.49,1.29,99400,N/A
2010,1,2,9,30,N/A,86.88,2.9,1.76,99390,N/A
2010,1,2,10,30,N/A,93.21000000000001,2.5500000000000003,3.29,99360,N/A
2010,1,2,11,30,N/A,103.47,2.63,4.8500000000000005,99310,N/A
2010,1,2,12,30,N/A,113.49000000000001,2.81,5.96,99260,N/A
2010,1,2,13,30,N/A,123.88000000000001,3.3000000000000003,6.82,99200,N/A
2010,1,2,14,30,N/A,130.83,3.75,7.5,99130,N/A
2010,1,2,15,30,N/A,144.9,4.25,8.02,99080,N/A
2010,1,2,16,30,N/A,143.85,5.01,8.17,99020,N/A
2010,1,2,17,30,N/A,151.62,5.39,7.87,98980,N/A
2010,1,2,18,30,N/A,138.63,5.22,7.42,98970,N/A
2010,1,2,19,30,N/A,138.33,6.76,7.37,98950,N/A
2010,1,2,20,30,N/A,125.58,6.3,6.44,98930,N/A
2010,1,2,21,30,N/A,127.43,7.3,5.82,98930,N/A
2010,1,2,22,30,N/A,120.52,7.74,4.71,98920,N/A
2010,1,2,23,30,N/A,126.48,7.71,4.39,98920,N/A
2010,1,3,0,30,N/A,126.31,7.05,4.09,98940,N/A
2010,1,3,1,30,N/A,125.19,7.54,3.54,98960,N/A
2010,1,3,2,30,N/A,132.7,8.17,3,98960,N/A
2010,1,3,3,30,N/A,133.46,7.95,2.36,98950,N/A
2010,1,3,4,30,N/A,127.10000000000001,7.9,1.68,98960,N/A
2010,1,3,5,30,N/A,125.15,7.8100000000000005,0.9,98980,N/A
2010,1,3,6,30,N/A,125.7,7.2,0.33,99000,N/A
2010,1,3,7,30,N/A,125.39,6.5600000000000005,-0.24,99020,N/A
2010,1,3,8,30,N/A,126.10000000000001,5.0600000000000005,-0.51,99050,N/A
2010,1,3,9,30,N/A,132.03,3.63,0.37,99080,N/A
2010,1,3,10,30,N/A,131.3,2.79,1.75,99090,N/A
2010,1,3,11,30,N/A,124.93,1.68,3.25,99080,N/A
2010,1,3,12,30,N/A,110.72,0.98,4.53,99080,N/A
2010,1,3,13,30,N/A,344.11,0.8300000000000001,5.51,99070,N/A
2010,1,3,14,30,N/A,330.54,1.95,6.01,99070,N/A
2010,1,3,15,30,N/A,344.5,2.94,6.21,99080,N/A
2010,1,3,16,30,N/A,349.62,4,6.0200000000000005,99080,N/A
2010,1,3,17,30,N/A,348.31,6.05,5.55,99140,N/A
2010,1,3,18,30,N/A,17.28,7.82,3.91,99200,N/A
2010,1,3,19,30,N/A,12.43,7.97,3,99280,N/A
2010,1,3,20,30,N/A,11.66,8.36,2.5500000000000003,99310,N/A
2010,1,3,21,30,N/A,12.46,9.01,1.06,99370,N/A
2010,1,3,22,30,N/A,11.700000000000001,7.86,0.02,99400,N/A
2010,1,3,23,30,N/A,11.48,8.26,-1.02,99430,N/A
2010,1,4,0,30,N/A,9.64,7.37,-1.6300000000000001,99480,N/A
2010,1,4,1,30,N/A,5.3100000000000005,7.29,-2.16,99520,N/A
2010,1,4,2,30,N/A,3.59,7.99,-2.54,99550,N/A
2010,1,4,3,30,N/A,7.09,7.94,-2.99,99580,N/A
2010,1,4,4,30,N/A,3.86,6.95,-3.2600000000000002,99590,N/A
2010,1,4,5,30,N/A,354.24,6.32,-3.38,99630,N/A
2010,1,4,6,30,N/A,356.93,6.0200000000000005,-3.5500000000000003,99650,N/A
2010,1,4,7,30,N/A,349.88,6.16,-3.68,99690,N/A
2010,1,4,8,30,N/A,344.01,5.94,-3.71,99730,N/A
2010,1,4,9,30,N/A,346.61,6.58,-3.47,99770,N/A
2010,1,4,10,30,N/A,346.69,6.43,-2.82,99780,N/A
2010,1,4,11,30,N/A,346.28000000000003,6.41,-1.96,99760,N/A
2010,1,4,12,30,N/A,346.59000000000003,6.12,-1.19,99750,N/A
2010,1,4,13,30,N/A,345.24,6.11,-0.44,99730,N/A
2010,1,4,14,30,N/A,345.37,6.13,0.05,99700,N/A
2010,1,4,15,30,N/A,345.39,6.07,0.32,99690,N/A
2010,1,4,16,30,N/A,350.37,5.83,0.27,99670,N/A
2010,1,4,17,30,N/A,357.02,6.3,0.04,99660,N/A
2010,1,4,18,30,N/A,1.87,6.32,-0.17,99680,N/A
2010,1,4,19,30,N/A,8.31,6.41,-0.56,99690,N/A
2010,1,4,20,30,N/A,10.59,6.18,-0.84,99700,N/A
2010,1,4,21,30,N/A,14.26,6.45,-1.18,99690,N/A
2010,1,4,22,30,N/A,30.07,5.14,-1.77,99700,N/A
